"iso","base_sample","africa","asia","other","pgp95","hjypl","avexpr","extmort4","lat_abst"
"TTO",1,0,0,0,6430.002226983006,0.49799998245028515,7.454545497894287,85,0.12222222238779068
"TUN",1,1,0,0,4830.001800620386,0.21700000559335844,6.454545497894287,63,0.3777777850627899
"TUR",0,0,1,0,5659.999510866236,0.21799999572864104,7.454545497894287,NA,0.4333333373069763
"TWN",0,0,1,0,NA,0.44499999932829426,9.227272987365723,NA,NA
"TZA",1,1,0,0,520.0000992185564,0.03200000486449766,6.636363506317139,145,0.06666667014360428
"UGA",1,1,0,0,1060.0002243994777,0.03200000486449766,4.454545497894287,280,0.011111111380159855
"UKR",0,0,0,0,2470.0003511236673,NA,NA,NA,0.5444444417953491
"URY",1,0,0,0,8360.00045392485,0.34000001442349387,7,71,0.36666667461395264
"USA",1,0,0,0,27329.99794848205,1,10,15,0.42222222685813904
"UZB",0,0,1,0,2460.0000302800004,NA,NA,NA,0.4555555582046509
"VEN",1,0,0,0,8699.999963750572,0.4950000183968733,7.136363506317139,78.0999984741211,0.08888889104127884
"VNM",1,0,1,0,1449.9999624372535,NA,6.409090995788574,140,0.17777778208255768
"YEM",0,0,1,0,769.9999408887227,0.21199999289613788,6.363636493682861,NA,0.1666666716337204
"YUG",0,0,0,0,NA,0.2999999963575953,6.318181991577148,NA,0.4888888895511627
"ZAF",1,1,0,0,7229.997414311854,0.24999999904767284,6.863636493682861,15.5,0.3222222328186035
"ZAR",1,1,0,0,960.0000588794858,0.03299999957959749,3.5,240,0
"ZMB",0,1,0,0,910.0000135585493,0.0509999953675043,6.636363506317139,NA,0.1666666716337204
"ZWE",0,1,0,0,2200.000284258235,0.06499999029849371,6,NA,0.2222222238779068
"notIndonesia",0,NA,NA,NA,NA,NA,NA,NA,NA
